session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
74b85w35,1,il6bz4yn,0,,InitializeParticipant,1654476068,1,0,0
74b85w35,1,il6bz4yn,1,sticky_prices,Introduction,1654477304,1,0,0
zwclmeg7,1,0wsd9xh7,0,,InitializeParticipant,1654478428,1,0,0
8c8f7mji,1,juf52w26,0,,InitializeParticipant,1654485673,1,0,0
sfinrd89,1,qaii7cd5,0,,InitializeParticipant,1654486626,1,0,0
9248ahxv,1,piz41mut,0,,InitializeParticipant,1654487040,1,0,0
9248ahxv,2,3x8wcase,0,,InitializeParticipant,1654487040,1,0,0
9248ahxv,3,a4tn3n8s,0,,InitializeParticipant,1654487040,1,0,0
9248ahxv,1,piz41mut,1,sticky_prices,Introduction,1654487044,1,0,0
2cp0wu0l,1,fap17vqi,0,,InitializeParticipant,1654489788,1,0,0
cu6cp50e,1,wn40eop9,0,,InitializeParticipant,1654533374,1,0,0
e8609fgx,1,ojl346m8,0,,InitializeParticipant,1654538717,1,0,0
wrrstnyp,1,eyo2cr7r,0,,InitializeParticipant,1654539100,1,0,0
b5joxsks,1,0jv4s4gi,0,,InitializeParticipant,1654539141,1,0,0
b5joxsks,2,9oadp0w9,0,,InitializeParticipant,1654539141,1,0,0
b5joxsks,3,0sgwi2go,0,,InitializeParticipant,1654539141,1,0,0
b5joxsks,1,0jv4s4gi,1,sticky_prices,Introduction,1654539142,1,0,0
b5joxsks,1,0jv4s4gi,2,sticky_prices,Guess,1654539157,1,0,0
b5joxsks,2,9oadp0w9,1,sticky_prices,Introduction,1654539159,1,0,0
b5joxsks,2,9oadp0w9,2,sticky_prices,Guess,1654539161,1,0,0
b5joxsks,3,0sgwi2go,1,sticky_prices,Introduction,1654539162,1,0,0
b5joxsks,3,0sgwi2go,2,sticky_prices,Guess,1654539163,1,0,0
b5joxsks,1,0jv4s4gi,3,sticky_prices,ResultsWaitPage,1654539163,1,0,1
b5joxsks,2,9oadp0w9,3,sticky_prices,ResultsWaitPage,1654539163,1,0,1
b5joxsks,3,0sgwi2go,3,sticky_prices,ResultsWaitPage,1654539163,1,0,1
b5joxsks,1,0jv4s4gi,4,sticky_prices,Results,1654539165,1,0,0
jx354qrq,1,qzjous48,0,,InitializeParticipant,1654539699,1,0,0
8qjt2gaq,1,0yscqi2a,0,,InitializeParticipant,1654544742,1,0,0
8qjt2gaq,2,9dqx6c9b,0,,InitializeParticipant,1654544742,1,0,0
8qjt2gaq,3,442epzct,0,,InitializeParticipant,1654544742,1,0,0
8qjt2gaq,1,0yscqi2a,1,sticky_prices,Introduction,1654545169,1,0,0
az7iolzc,1,ool05c5g,0,,InitializeParticipant,1654545216,1,0,0
az7iolzc,2,iu1dd5cr,0,,InitializeParticipant,1654545216,1,0,0
az7iolzc,3,e3dqr9tq,0,,InitializeParticipant,1654545216,1,0,0
az7iolzc,1,ool05c5g,1,sticky_prices,Introduction,1654545217,1,0,0
az7iolzc,1,ool05c5g,2,sticky_prices,Guess,1654545219,1,0,0
az7iolzc,2,iu1dd5cr,1,sticky_prices,Introduction,1654545219,1,0,0
az7iolzc,2,iu1dd5cr,2,sticky_prices,Guess,1654545221,1,0,0
az7iolzc,3,e3dqr9tq,1,sticky_prices,Introduction,1654545222,1,0,0
az7iolzc,3,e3dqr9tq,2,sticky_prices,Guess,1654545224,1,0,0
az7iolzc,1,ool05c5g,3,sticky_prices,ResultsWaitPage,1654545224,1,0,1
az7iolzc,2,iu1dd5cr,3,sticky_prices,ResultsWaitPage,1654545224,1,0,1
az7iolzc,3,e3dqr9tq,3,sticky_prices,ResultsWaitPage,1654545224,1,0,1
az7iolzc,1,ool05c5g,4,sticky_prices,Results,1654545237,1,0,0
sojanlyz,1,yaoomm5d,0,,InitializeParticipant,1654545338,1,0,0
sojanlyz,2,6mgiaks6,0,,InitializeParticipant,1654545338,1,0,0
sojanlyz,3,snzv5avc,0,,InitializeParticipant,1654545338,1,0,0
sojanlyz,1,yaoomm5d,1,sticky_prices,Introduction,1654545339,1,0,0
sojanlyz,1,yaoomm5d,2,sticky_prices,Guess,1654545354,1,0,0
sojanlyz,2,6mgiaks6,1,sticky_prices,Introduction,1654545357,1,0,0
sojanlyz,2,6mgiaks6,2,sticky_prices,Guess,1654545360,1,0,0
sojanlyz,3,snzv5avc,1,sticky_prices,Introduction,1654545367,1,0,0
sojanlyz,3,snzv5avc,2,sticky_prices,Guess,1654545373,1,0,0
sojanlyz,1,yaoomm5d,3,sticky_prices,ResultsWaitPage,1654545373,1,0,1
sojanlyz,2,6mgiaks6,3,sticky_prices,ResultsWaitPage,1654545373,1,0,1
sojanlyz,3,snzv5avc,3,sticky_prices,ResultsWaitPage,1654545373,1,0,1
sojanlyz,1,yaoomm5d,4,sticky_prices,Results,1654545396,1,0,0
s9afpamt,1,d4lto61z,0,,InitializeParticipant,1654545519,1,0,0
uk3j7g4h,1,cl97y4e4,0,,InitializeParticipant,1654549840,1,0,0
jd2xspvf,1,ti7hunnv,0,,InitializeParticipant,1654549903,1,0,0
t5taudys,2,6m4dbpgy,0,,InitializeParticipant,1654549924,1,0,0
t5taudys,1,sid8bg4x,0,,InitializeParticipant,1654549924,1,0,0
t5taudys,3,txche5q1,0,,InitializeParticipant,1654549924,1,0,0
t5taudys,1,sid8bg4x,1,sticky_prices,Introduction,1654549925,1,0,0
t5taudys,1,sid8bg4x,2,sticky_prices,Guess,1654549927,1,0,0
t5taudys,2,6m4dbpgy,1,sticky_prices,Introduction,1654549927,1,0,0
t5taudys,2,6m4dbpgy,2,sticky_prices,Guess,1654549929,1,0,0
t5taudys,3,txche5q1,1,sticky_prices,Introduction,1654549930,1,0,0
t5taudys,3,txche5q1,2,sticky_prices,Guess,1654549931,1,0,0
t5taudys,1,sid8bg4x,3,sticky_prices,ResultsWaitPage,1654549931,1,0,1
t5taudys,2,6m4dbpgy,3,sticky_prices,ResultsWaitPage,1654549931,1,0,1
t5taudys,3,txche5q1,3,sticky_prices,ResultsWaitPage,1654549931,1,0,1
dzyru3fv,2,m5ib51ro,0,,InitializeParticipant,1654549960,1,0,0
dzyru3fv,1,vj5rfqg2,0,,InitializeParticipant,1654549960,1,0,0
dzyru3fv,3,p8dpzxx2,0,,InitializeParticipant,1654549960,1,0,0
dzyru3fv,1,vj5rfqg2,1,sticky_prices,Introduction,1654549961,1,0,0
dzyru3fv,1,vj5rfqg2,2,sticky_prices,Guess,1654549962,1,0,0
dzyru3fv,2,m5ib51ro,1,sticky_prices,Introduction,1654549963,1,0,0
dzyru3fv,2,m5ib51ro,2,sticky_prices,Guess,1654549964,1,0,0
dzyru3fv,3,p8dpzxx2,1,sticky_prices,Introduction,1654549965,1,0,0
dzyru3fv,3,p8dpzxx2,2,sticky_prices,Guess,1654549966,1,0,0
dzyru3fv,1,vj5rfqg2,3,sticky_prices,ResultsWaitPage,1654549966,1,0,1
dzyru3fv,2,m5ib51ro,3,sticky_prices,ResultsWaitPage,1654549966,1,0,1
dzyru3fv,3,p8dpzxx2,3,sticky_prices,ResultsWaitPage,1654549966,1,0,1
dzyru3fv,1,vj5rfqg2,4,sticky_prices,Results,1654549974,1,0,0
dzyru3fv,2,m5ib51ro,4,sticky_prices,Results,1654549976,1,0,0
dzyru3fv,3,p8dpzxx2,4,sticky_prices,Results,1654549977,1,0,0
dzyru3fv,1,vj5rfqg2,6,sticky_prices,Guess,1654549982,2,0,0
dzyru3fv,2,m5ib51ro,6,sticky_prices,Guess,1654549985,2,0,0
